Delta.M1,Delta.Inter,Delta.COV,Delta.gravi,Ord.M1,Error
0.8,0.91,1,0.94,2,1.416136527
0.8,0.91,1,0.95,1,0.79276911
0.8,0.91,1,0.95,2,1.395700386
0.8,0.91,1,0.96,1,0.789761764
0.8,0.91,1,0.96,2,1.38161476
0.8,0.91,1,0.97,1,0.787571268
0.8,0.91,1,0.97,2,1.371340779
0.8,0.91,1,0.98,1,0.785718409
0.8,0.91,1,0.98,2,1.363363584
0.8,0.91,1,0.99,1,0.784019549
0.8,0.91,1,0.99,2,1.356986637
0.8,0.91,1,1,1,0.782383951
0.8,0.91,1,1,2,1.351771462
0.8,0.92,0.9,0.9,1,0.8231131
0.8,0.92,0.9,0.9,2,1.678088967
0.8,0.92,0.9,0.91,1,0.812630593
0.8,0.92,0.9,0.91,2,1.532627632
0.8,0.92,0.9,0.92,1,0.805055109
0.8,0.92,0.9,0.92,2,1.459743888
0.8,0.92,0.9,0.93,1,0.799264526
0.8,0.92,0.9,0.93,2,1.418228288
0.8,0.92,0.9,0.94,1,0.795040823
0.8,0.92,0.9,0.94,2,1.392830751
0.8,0.92,0.9,0.95,1,0.791726583
0.8,0.92,0.9,0.95,2,1.376385494
0.8,0.92,0.9,0.96,1,0.789496195
0.8,0.92,0.9,0.96,2,1.36502823
0.8,0.92,0.9,0.97,1,0.787495938
0.8,0.92,0.9,0.97,2,1.356827445
0.8,0.92,0.9,0.98,1,0.785759841
0.8,0.92,0.9,0.98,2,1.350715014
0.8,0.92,0.9,0.99,1,0.784128209
0.8,0.92,0.9,0.99,2,1.346046673
0.8,0.92,0.9,1,1,0.782537792
0.8,0.92,0.9,1,2,1.342327079
0.8,0.92,0.91,0.9,1,0.822659266
0.8,0.92,0.91,0.9,2,1.675145671
0.8,0.92,0.91,0.91,1,0.812254734
0.8,0.92,0.91,0.91,2,1.530865029
0.8,0.92,0.91,0.92,1,0.804740613
0.8,0.92,0.91,0.92,2,1.458549074
0.8,0.92,0.91,0.93,1,0.798997033
0.8,0.92,0.91,0.93,2,1.417354072
0.8,0.92,0.91,0.94,1,0.794833157
0.8,0.92,0.91,0.94,2,1.39215114
0.8,0.92,0.91,0.95,1,0.791546879
0.8,0.92,0.91,0.95,2,1.375829659
0.8,0.92,0.91,0.96,1,0.789333378
0.8,0.92,0.91,0.96,2,1.364554133
0.8,0.92,0.91,0.97,1,0.787345978
0.8,0.92,0.91,0.97,2,1.356409452
0.8,0.92,0.91,0.98,1,0.785619599
0.8,0.92,0.91,0.98,2,1.350337249
0.8,0.92,0.91,0.99,1,0.783995348
0.8,0.92,0.91,0.99,2,1.345699997
0.8,0.92,0.91,1,1,0.782410637
0.8,0.92,0.91,1,2,1.342004193
0.8,0.92,0.92,0.9,1,0.822239019
0.8,0.92,0.92,0.9,2,1.672492895
0.8,0.92,0.92,0.91,1,0.811905948
0.8,0.92,0.92,0.91,2,1.529271424
0.8,0.92,0.92,0.92,1,0.804448197
0.8,0.92,0.92,0.92,2,1.45746471
0.8,0.92,0.92,0.93,1,0.798747799
0.8,0.92,0.92,0.93,2,1.416557787
