"Ganul";"Delta.M1";"Delta.Inter";"Delta.COV";"Indic_COVID";"Usa_Vel";"MSE"
1;0,98;0,83;0,91;8;0;76,8371711052187
1;0,96;0,88;0,93;8;0;76,838201547028
1;0,98;0,89;0,94;8;0;76,8392215767915
1;0,95;0,9;0,99;8;0;76,8396239183487
1;0,97;0,87;0,89;8;0;76,839681438786
1;0,9;1;0,9;8;0;76,8396891162315
1;0,98;0,82;0,95;8;0;76,841949563055
1;0,91;0,98;0,96;8;0;76,8433791006748
1;0,95;0,89;1;8;0;76,8434494789236
1;0,9;0,99;0,93;8;0;76,8436862497147
1;0,96;0,87;0,94;8;0;76,8442712904075
1;0,99;0,89;0,95;8;0;76,8445348424034
1;0,99;0,85;0,84;8;0;76,8468850805287
1;0,9;0,98;1;8;0;76,8474477750767
1;0,96;0,89;0,93;8;0;76,8477250977
1;0,99;0,88;0,88;8;0;76,8478686487818
1;0,98;0,84;0,88;8;0;76,848122662936
1;0,98;0,86;0,86;8;0;76,8484843593233
1;0,89;1;0,92;8;0;76,8484873306068
1;0,91;1;0,95;8;0;76,8485519507801
1;1;0,89;0,95;8;0;76,8488661047812
1;0,96;0,86;0,97;8;0;76,8490163983431
1;0,97;0,85;0,91;8;0;76,8495214526736
1;0,97;0,9;1;8;0;76,8500283541557
1;0,96;0,9;0,96;8;0;76,8500532898436
1;1;0,87;0,84;8;0;76,8500738118951
1;0,99;0,8;0,98;8;0;76,8504784951817
1;0,99;0,86;0,84;8;0;76,8508972717865
1;0,95;0,9;0,98;8;0;76,8513074358088
1;0,91;0,99;0,94;8;0;76,8515177341726
1;0,97;0,83;1;8;0;76,8515731538802
1;0,95;0,91;1;8;0;76,8520811746922
1;1;0,82;0,85;8;0;76,8527206684628
1;0,97;0,89;0,92;8;0;76,8527765906054
1;0,99;0,81;0,92;8;0;76,8534756359973
1;0,99;0,83;0,86;8;0;76,8538290338669
1;0,95;0,89;0,99;8;0;76,8545586695574
1;0,97;0,86;0,89;8;0;76,8547705670184
1;0,99;0,87;0,85;8;0;76,8549431432791
1;0,97;0,84;0,94;8;0;76,8550621317136
1;1;0,85;0,82;8;0;76,8552443692058
1;0,98;0,89;0,93;8;0;76,8552503409015
1;1;0,88;0,87;8;0;76,8554972765435
1;1;0,8;0,91;8;0;76,856957416232
1;0,96;0,88;0,92;8;0;76,857506048657
1;0,89;0,99;1;8;0;76,8578923722138
1;0,91;0,97;1;8;0;76,8581302897009
1;0,91;0,98;0,95;8;0;76,8582098122453
1;0,97;0,88;0,89;8;0;76,8586097220964
1;0,9;0,98;0,99;8;0;76,8586445857778
